Client,Products,Target
Sophy   ,Fries Onion Milk,positive
Filona  ,Sweet Vine Water,negative
Sophy   ,Cheese Salt Eris,positive
Alla    ,Cigar Eris Salo,negative
Hilary  ,Water Iogurt Beer,positive
Hilary  ,Fries Vine Sweet,negative
Sophy   ,Salo Cream Bananas,positive
Hilary  ,Bananas Eris Iogurt,positive
Ira     ,Bread Onion Cream,positive
Gina    ,Eris Pepper Sugar,negative
Dorophy ,Kefir Beer Water,positive
Sophy   ,Salt Cheese Cream,positive
Sophy   ,Iogurt Cream Bananas,positive
Chloe   ,Beer Water Abritos,negative
Hilary  ,Vine Milk Salt,positive
Hilary  ,Cigar Salo Pepper,negative
Sophy   ,Bananas Kefir Cream,positive
Emma    ,Sweet Onion Salt,negative
Gina    ,Iogurt Vodka Vine,positive
Ira     ,Pepper Cheese Salt,positive
Filona  ,Cream Water Fries,positive
Dorophy ,Vine Onion Sugar,negative
Emma    ,Water Salt Bread,negative
Hilary  ,Vine Salt Pepper,negative
Sophy   ,Abritos Pepper Bread,negative
Gina    ,Kefir Cream Bananas,positive
Alla    ,Bread Milk Pepper,positive
Sophy   ,Sweet Cheese Onion,positive
Gina    ,Sweet Fries Bread,negative
Gina    ,Fries Pepper Iogurt,positive
Gina    ,Fries Sugar Abritos,negative
Gina    ,Cheese Vodka Milk,positive
Dorophy ,Abritos Bread Iogurt,positive
Gina    ,Vodka Cheese Salt,positive
Ira     ,Vodka Cheese Bananas,positive
Dorophy ,Onion Vodka Sweet,negative
Ira     ,Cream Vine Salo,positive
Chloe   ,Water Abritos Beer,negative
Alla    ,Salo Beer Bread,negative
Dorophy ,Abritos Salt Salo,negative
Ira     ,Fries Cream Salo,positive
Ann     ,Abritos Vine Beer,negative
Emma    ,Cream Cheese Milk,positive
Emma    ,Sweet Milk Kefir,positive
Ann     ,Pepper Sweet Cream,positive
Hilary  ,Bread Beer Cheese,positive
Gina    ,Sugar Pepper Bread,negative
Dorophy ,Pepper Abritos Kefir,positive
Ann     ,Vine Bread Pepper,negative
Sophy   ,Vodka Sweet Salt,negative
Alla    ,Cheese Cream Pepper,positive
Emma    ,Sweet Vodka Fries,negative
Gina    ,Onion Eris Cigar,negative
Chloe   ,Abritos Salt Sweet,negative
Dorophy ,Abritos Beer Salt,negative
Chloe   ,Milk Cigar Salt,positive
Ira     ,Salo Onion Water,negative
Chloe   ,Water Bread Sugar,negative
Ann     ,Kefir Salt Pepper,positive
Ira     ,Cigar Bananas Salt,negative
Alla    ,Onion Kefir Salt,positive
Emma    ,Fries Salt Bread,negative
Gina    ,Water Onion Sugar,negative
Ira     ,Cheese Abritos Eris,positive
Ann     ,Cream Milk Vine,positive
Hilary  ,Milk Kefir Pepper,positive
Hilary  ,Abritos Bread Vine,negative
Hilary  ,Bread Salo Vine,negative
Ann     ,Pepper Salt Beer,negative
Emma    ,Abritos Salo Bread,negative
Emma    ,Water Salt Pepper,negative
Alla    ,Eris Salt Vine,negative
Filona  ,Vine Pepper Vodka,negative
Filona  ,Cigar Salt Eris,negative
Sophy   ,Salo Bananas Abritos,negative
Ira     ,Vine Fries Pepper,negative
Gina    ,Cigar Water Bread,negative
Ira     ,Kefir Sweet Cigar,positive
Ira     ,Milk Cigar Eris,positive
Filona  ,Eris Bananas Bread,negative
Gina    ,Fries Bananas Bread,negative
Chloe   ,Cream Kefir Fries,positive
Gina    ,Vodka Fries Salo,negative
Ira     ,Eris Water Beer,negative
Emma    ,Vine Sugar Iogurt,positive
Ira     ,Salt Iogurt Beer,positive
